X,Y,Z
2.03091,-3.21379,1.43815
1.92736,-3.09167,1.37946
1.89411,-3.08027,1.36939
1.96655,-3.2426,1.43468
1.7407,-2.91009,1.28605
1.69329,-2.87063,1.26452
1.61204,-2.77151,1.21764
1.62391,-2.83179,1.23917
1.64247,-2.90539,1.26625
1.73091,-3.10632,1.34717
1.51195,-2.75269,1.19333
1.48299,-2.73964,1.18395
1.81677,-3.40662,1.46003
1.80804,-3.44095,1.46975
1.32848,-2.56573,1.10026
1.34804,-2.64319,1.12908
1.39112,-2.81255,1.19229
1.57282,-3.23001,1.36071
1.19595,-2.53401,1.06797
1.48061,-3.24034,1.3496
1.44648,-3.21771,1.33675
1.40398,-3.17506,1.31591
1.28731,-2.95999,1.22562
1.27907,-2.99111,1.235
1.37689,-3.27558,1.34612
1.36249,-3.29784,1.35168
0.935481,-2.3033,0.950938
1.11919,-2.80556,1.14888
1.31557,-3.35816,1.36592
0.881488,-2.29037,0.939131
1.25704,-3.32843,1.34786
1.24116,-3.34839,1.35272
1.01595,-2.79273,1.13082
1.20469,-3.37662,1.35793
1.1821,-3.37864,1.35585
0.931244,-2.71426,1.09297
1.0904,-3.24354,1.29751
0.972009,-2.95086,1.18083
0.928002,-2.87644,1.14957
0.901872,-2.85525,1.13915
0.887655,-2.87148,1.14332
0.86053,-2.84545,1.13117
0.671484,-2.26968,0.906836
0.670028,-2.31701,0.923504
0.729358,-2.58192,1.02386
0.894804,-3.32422,1.30515
0.868206,-3.30607,1.29612
0.864397,-3.37584,1.32077
0.559124,-2.23909,0.884958
0.55798,-2.29443,0.904752
0.713955,-3.0179,1.17874
0.677789,-2.94545,1.14957
0.564624,-2.76181,1.07422
0.537487,-2.7137,1.05477
0.48539,-2.61866,1.01657
0.489423,-2.73421,1.05894
0.571006,-3.30829,1.27355
0.500502,-3.00922,1.15999
0.457786,-2.86037,1.10304
0.476897,-3.10227,1.19263
0.413918,-2.80639,1.08081
0.401005,-2.83952,1.09227
0.308486,-2.39497,0.924546
0.300944,-2.45546,0.946424
0.256385,-2.62451,1.00685
0.163345,-2.23625,0.86065
0.132736,-2.18566,0.841203
0.119828,-2.1958,0.844676
0.125092,-2.96915,1.13082
0.0518179,-2.94976,1.12283
-0.00251669,-2.9746,1.13186
-0.020464,-2.93327,1.11658
-0.0555183,-2.88498,1.09887
-0.0718893,-2.83302,1.07977
-0.0891813,-2.82972,1.07873
-6.74697,-3.23288,2.80081
-6.89306,-3.251,2.85255
-7.03235,-2.95457,2.85498
-7.05381,-2.91279,2.85637
-6.75059,-2.26803,2.66746
-6.74517,-2.0382,2.63968
-6.77464,-2.00182,2.64628
-6.96025,-1.9641,2.70844
-6.97217,-1.92136,2.70844
-7.03514,-1.84612,2.72372
4.20862,-2.25058,1.73842
4.25349,-2.30824,1.76234
4.27306,-2.35292,1.77616
4.04403,-2.35797,1.70574
4.11378,-2.43257,1.74078
3.63848,-2.18181,1.54873
3.57998,-2.17671,1.52986
3.60823,-2.22432,1.54738
3.6001,-2.24991,1.54974
3.6085,-2.28607,1.55917
4.18387,-2.68662,1.80985
4.19572,-2.73073,1.82198
4.19303,-2.76575,1.82804
4.2517,-2.99555,1.89172
4.23324,-3.02158,1.89172
3.95825,-2.86215,1.77852
4.2437,-3.10835,1.91295
3.01843,-2.23961,1.37555
3.0099,-2.26205,1.3779
2.97199,-2.26223,1.36712
2.95283,-2.2764,1.36476
2.96998,-2.31881,1.37892
3.54512,-2.80293,1.64779
3.32792,-2.66458,1.55614
3.00871,-2.43949,1.41665
3.62465,-2.97583,1.70877
2.8656,-2.38234,1.36409
